spend time: 11, cur_state: 48, cur_clip:16
spend time: 11, cur_state: 48, cur_clip:16
spend time: 11, cur_state: 48, cur_clip:16
spend time: 11, cur_state: 48, cur_clip:16
spend time: 11, cur_state: 48, cur_clip:16
spend time: 11, cur_state: 48, cur_clip:24
spend time: 11, cur_state: 48, cur_clip:24
spend time: 11, cur_state: 48, cur_clip:24
spend time: 11, cur_state: 48, cur_clip:24
spend time: 11, cur_state: 48, cur_clip:24
spend time: 11, cur_state: 48, cur_clip:24
spend time: 11, cur_state: 48, cur_clip:24
spend time: 11, cur_state: 48, cur_clip:24
spend time: 11, cur_state: 48, cur_clip:24
spend time: 11, cur_state: 48, cur_clip:24
spend time: 11, cur_state: 54, cur_clip:18
spend time: 11, cur_state: 54, cur_clip:18
spend time: 11, cur_state: 54, cur_clip:18
spend time: 11, cur_state: 54, cur_clip:27
spend time: 12, cur_state: 23, cur_clip:23
spend time: 12, cur_state: 23, cur_clip:23
spend time: 12, cur_state: 23, cur_clip:23
spend time: 12, cur_state: 23, cur_clip:23
spend time: 12, cur_state: 23, cur_clip:23
spend time: 12, cur_state: 23, cur_clip:23
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 28, cur_clip:28
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 29, cur_clip:29
spend time: 12, cur_state: 30, cur_clip:30
spend time: 12, cur_state: 30, cur_clip:30
spend time: 12, cur_state: 30, cur_clip:30
spend time: 12, cur_state: 30, cur_clip:30
spend time: 12, cur_state: 30, cur_clip:30
spend time: 12, cur_state: 30, cur_clip:30
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 31, cur_clip:31
spend time: 12, cur_state: 33, cur_clip:33
spend time: 12, cur_state: 33, cur_clip:33
spend time: 12, cur_state: 33, cur_clip:33
spend time: 12, cur_state: 33, cur_clip:33
spend time: 12, cur_state: 33, cur_clip:33
spend time: 12, cur_state: 33, cur_clip:33
spend time: 12, cur_state: 33, cur_clip:33
spend time: 12, cur_state: 34, cur_clip:17
spend time: 12, cur_state: 34, cur_clip:17
spend time: 12, cur_state: 34, cur_clip:34
spend time: 12, cur_state: 34, cur_clip:34
spend time: 12, cur_state: 34, cur_clip:34
spend time: 12, cur_state: 34, cur_clip:34
spend time: 12, cur_state: 34, cur_clip:34
spend time: 12, cur_state: 35, cur_clip:5
spend time: 12, cur_state: 35, cur_clip:6
spend time: 12, cur_state: 35, cur_clip:6
spend time: 12, cur_state: 35, cur_clip:6
spend time: 12, cur_state: 35, cur_clip:6
spend time: 12, cur_state: 35, cur_clip:6
spend time: 12, cur_state: 35, cur_clip:6
spend time: 12, cur_state: 35, cur_clip:6
spend time: 12, cur_state: 35, cur_clip:6
spend time: 12, cur_state: 35, cur_clip:7
spend time: 12, cur_state: 35, cur_clip:7
spend time: 12, cur_state: 35, cur_clip:7
spend time: 12, cur_state: 35, cur_clip:7
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 35, cur_clip:35
spend time: 12, cur_state: 36, cur_clip:36
spend time: 12, cur_state: 36, cur_clip:36
spend time: 12, cur_state: 36, cur_clip:36
spend time: 12, cur_state: 36, cur_clip:36
spend time: 12, cur_state: 36, cur_clip:36
spend time: 12, cur_state: 36, cur_clip:36
spend time: 12, cur_state: 38, cur_clip:19
spend time: 12, cur_state: 38, cur_clip:19
spend time: 12, cur_state: 38, cur_clip:19
spend time: 12, cur_state: 38, cur_clip:19
spend time: 12, cur_state: 38, cur_clip:19
spend time: 12, cur_state: 38, cur_clip:19
spend time: 12, cur_state: 38, cur_clip:19
spend time: 12, cur_state: 38, cur_clip:19
spend time: 12, cur_state: 38, cur_clip:19
spend time: 12, cur_state: 38, cur_clip:19
spend time: 12, cur_state: 39, cur_clip:8
spend time: 12, cur_state: 39, cur_clip:8
spend time: 12, cur_state: 39, cur_clip:8
spend time: 12, cur_state: 39, cur_clip:8
spend time: 12, cur_state: 39, cur_clip:8
spend time: 12, cur_state: 39, cur_clip:8
spend time: 12, cur_state: 39, cur_clip:8
spend time: 12, cur_state: 39, cur_clip:8
spend time: 12, cur_state: 39, cur_clip:8
spend time: 12, cur_state: 39, cur_clip:10
spend time: 12, cur_state: 39, cur_clip:10
spend time: 12, cur_state: 39, cur_clip:10
spend time: 12, cur_state: 39, cur_clip:10
spend time: 12, cur_state: 39, cur_clip:10
spend time: 12, cur_state: 39, cur_clip:10
spend time: 12, cur_state: 39, cur_clip:20
spend time: 12, cur_state: 39, cur_clip:20
spend time: 12, cur_state: 39, cur_clip:20
spend time: 12, cur_state: 39, cur_clip:20
spend time: 12, cur_state: 39, cur_clip:20
spend time: 12, cur_state: 40, cur_clip:40
spend time: 12, cur_state: 40, cur_clip:40
spend time: 12, cur_state: 40, cur_clip:40
spend time: 12, cur_state: 40, cur_clip:40
spend time: 12, cur_state: 40, cur_clip:40
spend time: 12, cur_state: 40, cur_clip:40
spend time: 12, cur_state: 40, cur_clip:40
spend time: 12, cur_state: 40, cur_clip:40
spend time: 12, cur_state: 40, cur_clip:40
spend time: 12, cur_state: 40, cur_clip:40
spend time: 12, cur_state: 42, cur_clip:6
